GeneSym	HP1504101T2D_wholeislet	HP1506401_wholeislet	HP1504901_wholeislet	HP1508501T2D_wholeislet	HP1507101_wholeislet	HP1526901T2D_wholeislet	HP1525301T2D_wholeislet
MUC20	1284	1580	1640	5471	799	1872	2020
TNK2	2644	2355	3713	2953	3955	2526	1693
MIR6829	0	0	0	0	0	0	0
TFRC	22704	20843	14952	23273	14112	10459	8198
ZDHHC19	0	2	0	0	0	0	0
LINC00885	2	4	0	0	0	0	4
TM4SF19	0	2	0	0	2	0	1
TCTEX1D2	284	340	299	471	395	274	379
TM4SF19-TCTEX1D2	0	0	0	0	1	0	1
PCYT1A	1027	926	1157	1271	1052	844	699
TM4SF19-AS1	8	15	10	19	17	18	11
FBXO45	1451	1374	1917	1643	1710	1270	976
WDR53	409	566	517	569	581	369	320
C3orf43	0	0	2	2	0	4	0
PIGX	1807	1755	1975	2147	2595	1725	1786
NRROS	6	6	36	4	24	11	20
CEP19	252	167	210	242	283	176	161
NCBP2	3653	4672	4490	5646	5262	3747	3485
MFI2-AS1	40	48	44	86	40	52	73
NCBP2-AS2	636	708	796	876	1059	708	643
PIGZ	267	333	292	243	367	234	305
DLG1-AS1	7	28	13	20	14	6	11
MIR4797	0	0	0	0	0	0	1
LOC220729	183	128	258	210	281	268	178
FYTTD1	4885	5566	7217	6535	6749	4565	4248
KIAA0226	1486	1418	1531	1797	1540	1373	998
MIR922	0	0	0	0	0	0	0
LMLN	530	542	536	594	567	431	452
RPL35A	8438	11097	13242	16445	14191	9976	9174
LMLN-AS1	0	1	0	0	3	0	0
FAM157A	2	6	32	23	16	3	5
LDB2	181	241	240	515	632	164	1012
ACOX3	538	665	391	946	552	509	479
TMEM33	4870	6289	7331	6280	6551	4806	4552
SEPSECS-AS1	34	22	11	46	82	36	29
CCSER1	265	466	620	369	438	290	192
LEF1	16	4	25	51	77	136	99
LIN54	1270	1215	1594	1283	1540	974	829
SPOCK3	2128	736	1622	2358	1049	816	2453
IL15	85	82	93	168	55	88	127
WFS1	20421	17809	18155	13643	22111	10464	9609
POLN	15	43	27	28	25	28	26
STK32B	427	102	614	592	908	291	768
SORCS2	68	6	51	54	23	51	41
OTOP1	0	0	0	0	0	0	0
HTT	5325	5443	6671	7671	6789	4900	4068
BST1	21	11	47	64	29	31	30
KCNIP4	62	97	172	53	87	75	41
NCAPG	54	127	69	72	100	62	84
APBB2	1780	1405	2216	2816	1919	1493	1182
PDS5A	7232	7757	8207	8450	8464	5799	5574
TEC	366	222	321	351	386	217	133
GABRB1	7	0	12	4	0	1	2
GRXCR1	0	0	0	1	0	0	0
KIT	117	62	323	141	156	219	116
USP46	920	1093	1099	1187	1237	842	868
LPHN3	2	6	4	2	25	5	4
SLC4A4	7378	16552	4938	10399	4884	11732	13801
ADAMTS3	3	0	6	20	13	10	22
RASSF6	1795	2774	1989	2760	2059	1886	1809
MUC7	0	0	0	0	0	0	0
YTHDC1	4453	5134	5937	5422	5538	3797	3477
C4orf22	0	0	0	0	0	0	0
CNOT6L	2378	2565	3655	3040	3331	2189	2206
SHROOM3	3752	4374	3633	5966	3888	4292	4685
CDKL2	422	385	459	372	645	349	268
MAPK10	1966	2026	2367	2296	2986	1851	2129
GPRIN3	1447	1641	1775	1165	1457	784	617
ABCG2	418	127	951	349	1157	289	168
PDLIM5	8544	9416	9072	9855	8478	6499	5833
GRID2	0	0	0	0	0	0	0
UNC5C	476	500	162	344	188	378	214
STPG2	13	17	12	8	16	9	18
SLC9B1	93	120	154	144	153	112	97
CISD2	1735	2148	2419	2088	2342	1693	1590
BANK1	363	307	246	324	225	190	236
ANK2	992	614	1345	682	2139	334	477
ALPK1	136	255	119	494	119	202	282
COL25A1	19	2	15	6	6	29	20
PRDM5	165	170	190	218	227	170	104
TMEM155	0	0	0	0	0	0	0
LINC01091	97	95	166	70	187	111	112
LOC729218	139	140	238	256	238	148	152
C4orf33	688	864	601	924	1058	628	956
TBC1D9	6229	5913	5878	6703	7414	4720	4258
TTC29	0	0	2	0	0	0	2
INPP4B	933	633	727	955	629	481	744
ARHGAP10	420	451	362	979	552	336	309
ZNF827	612	668	840	736	949	533	440
SH3D19	1035	1742	1133	2440	1444	1408	1490
TRIM2	8570	8923	8607	6738	11023	5785	5034
DCHS2	151	119	427	181	55	117	101
MARCH1	384	101	475	184	788	435	306
FSTL5	3754	2474	5078	2772	7887	1027	3039
MFAP3L	717	834	884	533	981	553	459
LOC100506122	0	0	0	0	0	0	0
GALNTL6	40	8	21	9	46	8	39
NEIL3	2	17	10	7	26	2	16
TENM3	6832	4686	5965	6669	3015	3977	3182
SORBS2	5994	8452	7880	9773	7013	7517	7251
PRIMPOL	404	527	556	547	599	485	453
PDE6B	348	415	559	850	645	384	385
CPLX1	1107	857	1021	1001	1340	847	682
PIGG	1597	2296	1804	2678	2165	1929	1882
GAK	3242	4019	3728	5344	4420	3616	2868
ZNF718	297	713	296	872	675	426	451
WHSC1	3478	3370	3859	3933	4179	2576	2558
LETM1	1288	1631	1585	2050	1388	1404	1139
SLBP	2372	2434	3086	3125	3475	2040	1977
SPON2	723	494	1017	2717	1185	1811	1822
MAEA	2636	3175	2548	3447	3407	2870	2117
ADD1	8988	9754	11035	11840	11668	8456	7481
GRK4	128	80	114	95	159	90	108
RNF4	2090	2406	2683	2980	2799	1972	1833
ZFYVE28	900	1026	1377	1163	1144	1330	716
TNIP2	975	994	856	1826	1107	1148	939
RGS12	672	563	830	936	846	633	502
STX18	1082	723	1482	1693	1623	1131	1189
STX18-AS1	72	68	77	105	99	65	77
EVC	208	302	200	428	242	377	442
EVC2	23	79	42	134	64	72	105
JAKMIP1	2357	2125	1812	2149	2154	1823	1148
KIAA0232	6985	6157	8681	6643	7788	5524	4819
TBC1D14	2107	2069	2492	2055	2359	1649	1417
PPP2R2C	3233	2282	3393	1297	3660	2319	1657
ABLIM2	1751	2545	1895	1890	2326	1458	2086
AFAP1	733	889	998	1836	1236	1416	1362
WDR1	7691	9124	7641	17013	10240	8704	9459
SLC2A9	37	32	19	66	29	22	35
CLNK	5	0	0	2	0	0	2
HS3ST1	140	123	120	460	102	413	780
LINC01182	0	3	0	1	0	1	4
CPEB2-AS1	1	1	0	0	0	4	0
CC2D2A	534	1197	594	746	692	791	631
PROM1	836	1864	656	3506	861	2677	2548
TAPT1-AS1	361	446	412	697	661	305	380
FAM184B	152	144	190	189	158	131	112
LCORL	1704	2087	2434	1855	2566	1601	1294
PACRGL	500	739	723	709	763	643	475
SLIT2	85	50	65	192	120	239	185
GBA3	31	42	64	70	57	29	61
GPR125	1341	1812	1639	2732	1886	2120	1893
PPARGC1A	541	864	319	905	245	355	686
MIR548AJ2	0	0	0	0	0	0	0
CCDC149	1278	1273	1365	1648	1500	1032	853
SEL1L3	4411	8280	2859	13808	4768	6818	8075
RBPJ	3615	4362	4314	4400	4614	3043	3111
STIM2	1495	1779	2010	2016	1739	1357	1388
TBC1D19	528	566	656	844	833	629	573
PCDH7	764	2884	1096	2464	2151	847	944
ARAP2	286	534	251	550	217	436	467
DTHD1	0	0	0	0	0	0	0
NWD2	26	87	52	32	28	17	6
RELL1	883	996	1206	1221	1280	766	559
C4orf19	1072	2163	1439	2512	1336	1206	1275
TBC1D1	1082	2155	1580	2435	2463	1451	1422
KLF3-AS1	26	50	61	70	27	43	63
KLF3	2647	3213	3753	4133	2870	2662	2437
RFC1	3535	4047	4151	4418	4967	2860	2663
FAM114A1	2442	3218	2227	3601	2184	2089	2126
UBE2K	5904	6202	7709	6917	6974	4949	4903
UGDH-AS1	187	166	186	212	318	219	129
KLB	888	532	756	407	1541	270	313
SMIM14	2800	2712	2239	2530	2776	1976	1829
WDR19	1184	1126	1666	1762	1639	1286	939
MIR1273H	0	0	0	0	0	0	0
KLHL5	2551	3718	3609	3970	3861	3100	2536
RHOH	20	0	27	20	18	39	13
N4BP2	759	754	1022	862	1089	560	643
RBM47	6326	7743	7023	10787	8189	6418	6668
NSUN7	323	364	326	598	441	276	407
LIMCH1	12171	10263	9612	11144	11676	6886	8100
SLC30A9	6922	9045	9230	7095	9849	6318	5981
ATP8A1	7856	6762	9109	5308	8887	4656	3991
KCTD8	303	560	466	368	445	367	241
GUF1	1704	2032	2435	1983	1619	1615	1419
GABRA4	2	4	0	0	0	0	6
GABRA2	12	16	169	3	120	8	6
COX7B2	0	0	0	0	0	0	0
CNGA1	168	246	280	90	204	415	253
CORIN	16	26	26	14	28	10	13
TXK	137	58	69	74	55	98	63
ATP10D	1562	2072	1874	2159	2619	1788	1687
FRYL	4842	4652	3336	4503	4228	2738	2640
OCIAD2	2462	3270	3056	4725	3207	2990	3459
CWH43	0	0	0	2	0	0	0
SLAIN2	2135	2990	3742	3658	3084	2247	1934
SPATA18	591	736	530	769	424	615	833
FIP1L1	2050	1961	2644	2702	2839	1564	1611
LNX1	830	1143	1120	1265	1080	923	808
SCFD2	636	1109	696	1129	859	742	692
CHIC2	482	567	650	712	704	579	463
CLOCK	4873	5087	7054	4855	6135	3625	3419
SRD5A3	743	1114	809	2738	1011	1292	1231
KDR	304	10	2358	385	351	249	60
NMU	1	0	2	0	0	0	2
PPAT	488	715	992	715	831	465	455
HOPX	1754	1051	3008	1257	3344	862	1898
CEP135	155	229	226	285	219	200	151
EXOC1	1848	2374	2461	3067	2828	1855	1707
THEGL	8	2	0	2	4	2	0
KIAA1211	1409	1860	1518	923	1449	1011	851
IGFBP7	9721	6279	10560	13371	15156	10631	16238
IGFBP7-AS1	89	45	105	131	181	118	149
LOC401134	0	0	0	0	0	0	0
TECRL	0	0	0	0	0	0	0
EPHA5	767	130	220	61	93	157	44
TMPRSS11A	2	0	2	2	0	0	0
TMPRSS11BNL	0	0	0	0	0	0	0
TMPRSS11F	0	0	0	0	0	2	0
UBA6	2967	2676	2945	3329	3282	2376	2367
FTLP10	0	0	0	0	0	0	0
TMPRSS11E	91	14	14	6	3	23	58
UGT2A1	0	0	0	0	0	0	0
MOB1B	19002	13709	26819	14843	29319	12174	13903
GRSF1	7807	12313	18423	14687	19185	10682	11911
GC	29336	19625	39922	40774	64588	16939	32107
NPFFR2	149	41	125	138	21	45	38
ANKRD17	8054	8024	9194	9539	9854	5708	5039
AFP	1	3	4	2	1	2	2
COX18	1099	1373	1194	1272	1210	898	909
MTHFD2L	243	224	371	274	317	223	183
EREG	2	12	0	2	4	6	36
RCHY1	1965	2036	2363	2177	2385	1681	1594
PARM1	33104	26595	28883	35804	36623	16299	20891
LOC441025	0	0	0	0	0	0	0
LOC100507388	2	1	0	1	0	0	6
ART3	0	6	3	0	2	0	5
PPEF2	0	0	0	0	2	4	6
USO1	7956	9714	8787	10578	10507	6404	7305
FAM47E-STBD1	0	0	0	0	0	0	0
FAM47E	119	494	430	379	655	378	315
CXCL13	0	0	2	0	0	0	0
CCNI	11913	10682	17805	13383	21069	10563	8691
FRAS1	1561	2153	709	1717	967	1557	1685
BMP2K	743	779	902	947	577	491	514
LINC01088	2	4	0	3	0	8	3
LINC00989	0	0	0	0	0	0	0
ANTXR2	250	326	260	419	520	720	517
PRKG2	295	229	237	335	236	140	358
SEC31A	14750	17302	16817	18094	18748	11722	10421
SCD5	12840	16197	17891	9763	19468	14716	9017
ENOPH1	5302	5840	6351	5810	7745	4138	4231
PLAC8	497	355	628	669	438	422	498
WDFY3	7254	5784	6853	6923	7395	5048	4638
ARHGAP24	1213	1073	1294	1350	1430	959	764
AFF1	5879	5534	6654	6712	6655	5278	4259
PTPN13	4559	2393	3573	3195	4483	1992	1974
PKD2	4686	3881	5385	4827	4597	3566	3502
FAM13A	964	2193	1164	2064	1311	1006	882
HERC3	2533	2184	3076	2252	2738	1768	1562
HERC5	885	823	1019	1739	1676	776	1148
SNCA	949	608	830	1243	1567	549	638
MMRN1	5209	4318	4826	5698	7595	2456	3894
SMARCAD1	2009	2331	2819	2805	2572	2042	1898
BMPR1B	75	68	68	111	55	152	98
STPG2-AS1	0	0	2	1	0	0	0
RAP1GDS1	2437	2968	2936	3426	3413	2154	1746
TSPAN5	1331	2764	952	1560	936	1399	1006
ADH6	21	65	100	64	29	70	70
ADH5	4118	4863	6639	5638	6566	4223	3456
MTTP	16	44	24	36	42	18	10
ADH1C	1282	5816	1481	5080	1304	2878	4441
LOC100507053	11	37	24	66	22	13	12
EMCN	14	0	96	32	63	26	15
PPP3CA	2942	3128	3153	3385	3629	2373	2094
MANBA	1998	2252	2247	2642	3409	1844	1592
CENPE	51	86	68	86	73	40	71
TACR3	4	1	6	0	0	0	0
NPNT	10428	3353	5894	11578	11313	3814	13157
PPA2	3207	4964	4122	6266	4700	3568	3631
ARHGEF38	211	288	171	340	156	200	236
GSTCD	805	810	759	967	973	622	602
TET2	2016	2016	2119	1968	1915	1439	1240
TBCK	1317	1780	821	2037	1489	1283	1050
DKK2	11	0	4	2	12	6	0
HADH	26291	33230	29885	24504	38370	21748	12462
SGMS2	3337	2760	4115	4742	4099	2788	2759
OSTC	2901	3986	3669	4689	4292	3241	3012
EGF	95	1083	100	249	78	107	63
ELOVL6	859	988	904	1477	1234	713	998
SEC24B	3022	2954	4194	3677	4051	2538	2162
CCDC109B	1190	1902	1939	1884	1486	1274	1075
RRH	0	7	5	11	2	5	4
ENPEP	147	10	275	56	234	151	43
PITX2	0	2	0	4	0	2	0
ZGRF1	212	167	280	227	234	158	135
CAMK2D	6008	5301	6456	6252	7844	4442	4724
NDST4	16	10	33	12	4	0	6
NDST3	36	18	26	28	14	12	16
PDE5A	2971	3144	2397	3099	2307	2643	2173
SYNPO2	753	364	308	259	170	206	169
MYOZ2	10	10	0	8	4	8	0
USP53	1230	1275	1158	1381	843	990	980
SEC24D	8224	7776	8566	12200	10691	6145	7022
QRFPR	0	0	0	0	0	0	0
KIAA1109	7561	8049	9130	7120	8679	5261	4866
TRPC3	0	2	4	0	4	0	2
ADAD1	0	0	0	0	0	0	0
IL21-AS1	0	0	2	0	0	0	0
SPATA5	380	378	471	367	395	289	208
LOC101927087	0	0	0	0	0	0	0
FAT4	221	376	223	217	277	313	164
HSPA4L	1846	1522	1533	2113	2255	1305	1211
INTU	243	207	290	353	329	238	245
MFSD8	1021	1021	1420	1196	1271	906	885
JADE1	3238	3117	3510	4465	4218	2657	2419
LARP1B	2018	2034	2577	2196	2428	1589	1387
SCLT1	253	278	230	338	341	274	226
LOC101927282	0	0	0	0	0	0	1
PCDH10	2024	294	715	1164	334	495	345
LINC00499	0	0	0	0	0	0	2
SLC7A11-AS1	11	0	0	1	0	5	0
ELF2	1626	1669	1967	2417	2193	1522	1419
NAA15	2251	2503	3234	3179	3044	2051	1955
RAB33B	1401	1322	1995	1540	1833	1092	954
SCOC	9982	11782	13159	9797	13061	8901	8747
MGST2	1546	2229	1351	2242	1792	1402	1566
MAML3	1961	2256	2009	2429	2529	1696	1354
RNF150	965	534	639	484	897	369	715
GAB1	979	826	1169	973	1154	851	790
FREM3	18	4	21	18	6	2	10
SMARCA5	9284	9900	11538	12363	11840	8340	7657
HHIP	0	9	0	10	2	0	2
ANAPC10	431	645	695	675	702	462	403
SMAD1	990	1555	1495	1523	1309	1388	1405
SLC10A7	333	662	396	704	517	336	407
NR3C2	2057	2549	2610	2145	2693	1731	1361
LRBA	8829	9916	11103	5616	11297	6800	6918
DCLK2	539	379	644	404	756	470	320
FAM160A1	211	298	213	223	149	175	124
ARFIP1	3351	3650	3922	4006	3902	3022	2852
FBXW7	1784	1617	2154	3144	2331	1942	1919
FHDC1	536	551	875	794	816	570	520
MND1	15	52	19	25	37	18	45
KIAA0922	706	931	669	1067	654	673	504
RNF175	0	1	1	4	5	3	2
RBM46	4	4	12	0	2	5	10
GUCY1A3	5221	3798	4008	4298	4566	3334	3058
ASIC5	0	0	0	0	0	0	0
GLRB	1383	1746	1492	1548	1618	1245	884
PDGFC	360	691	202	691	294	536	753
GRIA2	2452	2252	2134	1893	2449	2021	1386
RXFP1	0	0	0	0	0	6	0
C4orf45	0	0	0	0	0	1	0
FNIP2	4371	3089	7254	6028	6359	3091	2460
MIR5684	0	0	0	0	0	0	0
CPE	216462	205645	169973	244991	286647	139242	215958
KLHL2	3482	3465	3645	3669	4597	3055	2834
GK3P	41	23	24	31	29	16	21
APELA	0	0	0	0	0	0	0
TLL1	29	16	27	85	10	14	32
PALLD	9839	5295	9005	12466	10465	5378	7672
ANXA10	66	715	130	820	94	297	341
DDX60	601	892	703	1248	975	724	880
DDX60L	894	689	877	1588	1140	651	929
NEK1	2226	1669	2604	2284	3158	1690	1748
SH3RF1	2545	2382	2417	4143	3167	2450	2844
C4orf27	1056	1282	1388	1558	1448	1138	968
GALNT7	1578	2455	1255	2545	1212	1728	1608
HAND2-AS1	0	2	2	3	19	7	3
ADAM29	11	8	10	28	8	10	4
CEP44	863	1022	1168	1221	1176	928	764
GLRA3	251	237	113	383	247	186	148
WDR17	1261	1469	2441	1242	1996	1604	895
GPM6A	2741	4401	3694	2266	4845	2746	1332
LINC01098	8	5	6	1	7	5	2
LINC01099	1562	766	712	203	526	580	524
LINC00290	0	0	1	0	0	2	0
WWC2	466	767	485	1289	460	591	722
LOC389247	13	41	18	23	54	28	8
ENPP6	4	8	12	11	12	5	7
IRF2	1109	1170	1276	1824	1650	1120	888
CCDC110	487	593	520	418	714	446	321
ACSL1	7858	6747	8506	7990	6547	6096	3843
SNX25	1845	1823	1732	2386	1975	1268	1505
KIAA1430	2904	3543	4409	3586	3652	2522	2256
FAT1	7111	12871	6200	9368	8139	7560	6183
KLKB1	445	343	481	550	865	480	968
F11-AS1	7	4	6	8	3	3	2
LOC339975	0	5	0	5	0	49	0
LOC100506272	0	0	0	0	0	0	0
LINC01060	29	12	4	18	4	0	4
ZNF595	272	325	422	541	448	388	272
ZNF876P	98	127	195	112	168	103	115
ZNF732	9	15	10	13	13	9	10
ZNF141	205	237	329	264	353	189	185
ZNF721	1789	1500	2265	1678	2062	1374	1334
ABCA11P	531	566	841	555	867	505	494
ATP5I	4022	5285	4695	7570	6234	3679	4193
LOC100129917	140	91	74	64	133	50	69
MFSD7	64	171	30	184	84	78	157
PCGF3	2485	2179	3057	3135	2794	2211	2283
MYL5	42	96	78	155	134	104	89
SLC26A1	209	194	179	255	199	180	179
DGKQ	996	816	837	1295	1193	1020	893
FGFRL1	237	680	198	964	235	563	543
TMEM175	1227	1276	1422	1888	1740	1406	1079
IDUA	586	491	618	971	862	762	682
TMED11P	4	24	0	2	2	4	3
RNF212	137	120	180	178	161	132	83
CTBP1	5549	6612	6837	6568	8040	5539	4368
CTBP1-AS2	768	1076	818	1027	1106	668	697
LOC100130872	30	49	115	72	57	57	37
CTBP1-AS	55	98	83	76	56	72	102
CRIPAK	522	763	709	809	708	705	1132
UVSSA	560	615	978	883	594	851	839
NKX1-1	0	0	0	0	0	0	0
FAM53A	43	50	15	23	50	53	28
FGFR3	448	932	249	627	435	954	1048
TACC3	185	279	267	257	257	205	247
TMEM129	2939	3274	2600	2961	4183	2868	2562
C4orf48	2076	1241	1384	2102	2988	1313	1743
NAT8L	2212	3190	3584	3277	4302	2607	1813
SCARNA22	2	4	0	3	2	2	2
NELFA	1169	1159	1410	1675	1478	1144	828
MIR943	0	0	0	0	0	0	0
MXD4	2711	3574	3288	2874	4511	3079	2751
HAUS3	645	767	971	827	877	608	586
MIR4800	0	0	0	0	0	0	0
LOC402160	15	11	17	17	23	13	18
FAM193A	1425	1409	2016	1925	1757	1293	1188
SH3BP2	685	956	645	1084	709	923	749
MFSD10	1560	1650	1277	2380	1975	1634	1458
NOP14-AS1	445	551	580	644	863	421	328
NOP14	1655	1903	2005	2979	1794	1495	1282
HTT-AS	0	2	0	4	0	0	0
MSANTD1	65	30	63	172	244	55	157
HGFAC	0	3	0	2	0	14	0
DOK7	12	130	15	46	6	33	56
LRPAP1	13190	12704	13137	18225	22640	12228	14694
LINC00955	0	0	0	0	0	2	0
LOC100133461	0	0	0	0	0	0	0
ADRA2C	56	42	26	93	75	111	101
FAM86EP	77	102	130	174	180	106	135
LYAR	270	316	315	517	324	239	155
TMEM128	1514	1396	1882	2626	2830	1454	1373
ZBTB49	231	233	206	290	266	189	180
NSG1	1129	1469	1240	979	1321	998	643
MSX1	23	19	47	67	68	58	38
CYTL1	4	0	0	2	8	0	0
C4orf6	2	3	2	29	7	18	21
CRMP1	6576	4924	7604	6791	8895	4850	4026
MIR378D1	0	0	0	0	0	0	0
LOC285484	190	217	232	205	256	164	115
LOC93622	971	1048	814	889	1252	766	728
MRFAP1	16216	18996	20720	25008	22340	15207	14164
MAN2B2	5036	3510	4069	7866	6453	4465	4232
S100P	0	11	10	123	3	44	29
MRFAP1L1	3935	4333	4948	5214	5054	3911	3545
BLOC1S4	405	475	459	818	515	535	499
LOC100129931	0	6	0	4	0	1	2
GRPEL1	1414	1667	1680	2203	1438	1275	1209
CCDC96	145	164	158	269	201	162	180
TADA2B	1574	2037	2074	2067	2162	1506	1418
FLJ36777	38	77	32	108	115	8	37
MIR4798	0	0	0	0	0	0	0
MIR4274	0	0	0	0	0	0	0
PSAPL1	0	0	0	0	0	0	0
AFAP1-AS1	2	7	0	15	0	7	5
SH3TC1	2140	1487	2541	2273	2667	1937	1333
HTRA3	100	5	295	565	229	246	153
TRMT44	187	305	238	424	258	349	287
GPR78	2	0	2	0	0	0	6
CPZ	3	16	8	31	44	42	60
HMX1	0	0	0	0	2	2	0
LOC650293	0	0	0	0	0	0	0
USP17L11+USP17L18+USP17L20	0	0	0	0	0	0	0
USP17L11+USP17L18	0	0	0	0	0	0	0
USP17L11+USP17L20+USP17L22	0	0	0	0	0	0	0
USP17L12+USP17L21	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0
USP17L20+USP17L22	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0
USP17L24+USP17L25+USP17L26+USP17L27+USP17L28+USP17L29+USP17L30+USP17L5	0	0	0	0	0	0	0
USP17L9P	0	0	0	0	0	0	0
USP17L6P	0	0	0	0	0	0	0
MIR548I2	0	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0	0
DRD5	4	0	4	8	9	8	2
MIR3138	0	0	0	0	0	0	0
ZNF518B	1126	1332	1642	1460	1541	976	814
MIR572	0	0	0	0	0	0	0
RAB28	820	1015	1052	1116	1318	926	831
NKX3-2	0	0	8	0	8	7	9
LINC01096	0	0	0	8	1	0	0
MIR5091	0	3	0	0	0	0	0
LINC01097	0	0	0	0	0	0	0
BOD1L1	2361	2336	3139	3215	2783	2035	1847
LINC01085	2	0	2	0	0	0	4
CPEB2	1326	1346	1425	1601	1278	1107	1119
C1QTNF7	0	0	6	6	8	30	10
FAM200B	1667	1899	2583	1662	2871	1652	1503
FBXL5	5108	4958	5583	5838	6564	3933	3693
CD38	2	5	6	4	25	11	6
FGFBP1	40	207	33	276	38	144	297
FGFBP2	0	0	0	0	0	0	0
TAPT1	2897	2785	3190	2974	3302	2558	2350
MIR548AX	0	0	0	0	0	0	0
QDPR	5580	5272	6387	8422	9821	5300	7959
CLRN2	0	0	1	0	0	0	0
LAP3	1286	1711	1482	2552	1520	1489	1618
MED28	2525	1679	2097	2524	2201	1432	1373
DCAF16	1898	2689	3175	2518	3209	1909	1870
SLIT2-IT1	0	0	0	0	0	0	0
MIR218-1	0	0	0	0	0	0	0
KCNIP4-IT1	0	0	0	0	0	0	0
LOC100505912	4	4	0	4	4	4	2
DHX15	7115	7548	6766	9143	6818	5439	5595
MIR573	4	0	1	3	1	0	4
SOD3	677	1408	174	2085	418	586	683
LGI2	1019	199	940	123	439	166	449
SEPSECS	1015	1076	1095	1202	1311	912	844
PI4K2B	1579	2167	2258	2154	2194	1424	1526
ANAPC4	984	1273	1324	1419	1125	1014	894
ZCCHC4	397	481	536	556	626	418	349
SLC34A2	282	465	168	1899	258	919	1582
SMIM20	939	1274	933	1749	1360	860	936
CCKAR	4	13	24	41	16	8	3
MIR4275	0	0	0	0	0	0	0
LOC439933	0	0	0	0	0	0	0
MIR4801	0	0	0	0	0	0	0
PGM2	495	659	563	799	800	543	611
PTTG2	0	0	4	0	1	0	1
LINC01258	0	0	1	0	0	0	0
TLR10	0	0	0	0	0	0	2
TLR6	20	7	22	39	50	18	45
TLR1	132	213	90	329	119	272	289
MIR574	0	0	0	0	0	0	0
TMEM156	4	15	11	22	10	6	8
LIAS	513	619	633	677	840	476	480
RPL9	863	1028	418	1623	585	234	294
UGDH	7995	5281	6992	11497	5833	4228	2865
LOC401127	48	33	44	47	51	16	41
LOC344967	32	24	28	34	56	20	31
CHRNA9	2	0	6	2	2	0	0
LOC101060498	10	11	3	2	3	2	10
MIR4802	0	0	0	0	0	0	0
UCHL1	19635	15588	16849	15365	19509	14458	9965
UCHL1-AS1	9	2	8	3	9	21	1
PHOX2B	0	2	0	0	31	0	0
LINC00682	0	0	0	0	0	0	0
DCAF4L1	9	18	9	31	12	9	15
BEND4	0	0	0	4	0	0	2
SHISA3	0	2	4	0	0	2	2
YIPF7	7	6	13	8	16	4	2
GNPDA2	1203	1519	1693	1412	1526	1349	928
GABRG1	0	0	0	0	0	0	0
COMMD8	781	1141	1344	1358	1379	903	1112
MIR8053	0	0	0	0	0	0	0
NFXL1	860	1272	1190	1008	1155	807	781
NIPAL1	107	169	144	175	99	86	135
ZAR1	0	0	0	0	0	0	0
SLC10A4	4	4	0	2	8	0	0
OCIAD1	9560	13440	12468	12958	13687	9607	8409
DCUN1D4	2449	2424	3163	2967	3094	2667	2315
SGCB	6002	6905	7500	6316	7096	5814	5090
LRRC66	50	105	55	88	41	73	82
SNORA26	1	3	1	3	1	3	2
MIR4449	2	0	0	0	1	2	0
DANCR	1121	1840	846	1271	1601	804	1120
LOC152578	0	6	0	1	0	0	0
ERVMER34-1	14	45	8	50	12	13	20
RASL11B	3	23	18	21	14	14	12
LNX1-AS1	0	0	0	0	0	0	0
LNX1-AS2	40	57	34	39	41	25	43
RPL21P44	1	4	4	5	1	0	0
GSX2	0	0	0	0	0	0	0
PDGFRA	110	81	41	406	227	295	289
SRD5A3-AS1	4	5	0	10	5	4	6
TMEM165	3455	4669	3574	5549	3921	4089	3999
PDCL2	0	0	0	0	0	0	0
LOC644145	0	0	0	0	0	0	0
AASDH	792	1108	1257	1297	1427	995	844
PAICS	3166	5431	5281	5044	5129	3289	3104
SRP72	5474	6111	8241	7300	7098	4041	4506
ARL9	16	46	6	40	33	35	9
REST	506	974	621	1075	431	987	992
SPINK2	44	33	23	78	127	62	22
NOA1	1234	1309	1740	1747	2036	1270	914
POLR2B	8529	10093	10286	11973	10597	7884	7358
LPHN3-AS1	0	0	0	0	0	0	0
EPHA5-AS1	15	2	5	1	6	8	2
LOC101927237	7	9	0	0	2	1	4
CENPC	1204	1232	1395	1239	1352	904	766
STAP1	0	16	1	2	2	2	0
GNRHR	10	24	24	18	18	13	17
UBA6-AS1	648	624	521	609	988	394	378
TMPRSS11D	0	0	3	0	0	0	0
SYT14L	0	0	0	0	0	0	0
TMPRSS11GP	0	0	0	0	0	0	0
LOC550113	0	0	0	0	0	0	0
TMPRSS11B	0	0	1	0	0	0	0
UGT2B17	12	66	42	25	26	136	61
UGT2B15	1487	2834	1433	1457	1192	5467	2318
UGT2B10	0	0	0	1	0	0	1
UGT2A3	757	1715	829	1889	690	1781	2252
UGT2B7	76	227	23	126	76	220	155
UGT2B11	9	2	6	13	1	5	2
UGT2B28	0	0	0	2	0	0	0
UGT2B4	149	12	164	267	22	108	45
UGT2A2	0	0	0	0	0	0	0
SULT1B1	19	72	1	48	35	28	31
SULT1E1	0	2	0	4	4	18	25
HTN3	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0
CSN1S1	0	0	0	0	0	0	0
